hgvsg	cadd_consscore	cadd_rawscore	dbnsfp_bayesdel_add_af_rankscore	dbnsfp_bayesdel_no_af_rankscore	dbnsfp_bstatistic_converted_rankscore	dbnsfp_clinpred_rankscore	dbnsfp_dann_rankscore	dbnsfp_deogen2_rankscore	dbnsfp_eigen_raw_coding_rankscore	dbnsfp_eigen_pc_raw_coding_rankscore	dbnsfp_fathmm_converted_rankscore	dbnsfp_fathmm_mkl_coding_rankscore	dbnsfp_fathmm_xf_coding_rankscore	dbnsfp_genocanyon_rankscore	dbnsfp_gerp___rs_rankscore	dbnsfp_gm12878_fitcons_rankscore	dbnsfp_h1_hesc_fitcons_rankscore	dbnsfp_huvec_fitcons_rankscore	dbnsfp_integrated_fitcons_rankscore	dbnsfp_list_s2_rankscore	dbnsfp_lrt_converted_rankscore	dbnsfp_metalr_rankscore	dbnsfp_metarnn_rankscore	dbnsfp_metasvm_rankscore	dbnsfp_mpc_rankscore	dbnsfp_mutationassessor_rankscore	dbnsfp_mutationtaster_converted_rankscore	dbnsfp_phastcons_100way_vertebrate_rankscore	dbnsfp_phastcons_17way_primate_rankscore	dbnsfp_phastcons_30way_mammalian_rankscore	dbnsfp_phylop_100way_vertebrate_rankscore	dbnsfp_phylop_17way_primate_rankscore	dbnsfp_phylop_30way_mammalian_rankscore	dbnsfp_polyphen2_hdiv_rankscore	dbnsfp_polyphen2_hvar_rankscore	dbnsfp_primateai_rankscore	dbnsfp_provean_converted_rankscore	dbnsfp_revel_rankscore	dbnsfp_sift_converted_rankscore	dbnsfp_sift4g_converted_rankscore	dbnsfp_siphy_29way_logodds_rankscore	dbnsfp_siphy_29way_logodds_score	dbnsfp_vest4_rankscore	evs_grantham_score	mutdb_mutpred_score	gnomad_exome_af	gnomad_genome_af	civic_actionscore	civic_clinvar_cnt	exac_nontcga_af	exac_af	clinvar_accession	clinvar_sig	clinvar_origin	clinvar_name	clinvar_accession_0	clinvar_sig_0	clivar_origin_0	clinvar_name_0	clinvar_accession_1	clinvar_sig_1	clivar_origin_1	clinvar_name_1	clinvar_accession_2	clinvar_sig_2	clivar_origin_2	clinvar_name_2	clinvar_accession_3	clinvar_sig_3	clivar_origin_3	clinvar_name_3	dbnsfp_clinvar_sig
chr11:g.108098353T>C	7	4.960174	0.82687	0.82463	0.94984	0.81132	0.51367	0.5147	0.63378	0.66381	0.39401	0.7756	0.00905	0.74766	0.68373	0.81188	0.96076	0.95156	0.92422	0.65058	0.8433	0.48343	0.97849	0.55168			0.81001	0.71638	0.58198	0.86279	0.77109	0.62972	0.56114	0.54666	0.49194		0.71997	0.71479	0.91255	0.92824	0.72354	15.1482	0.97207			3.97785e-06										RCV000166992	Pathogenic	germline	Hereditary cancer-predisposing syndrome	RCV000168377	Pathogenic/Likely pathogenic	germline	Ataxia-telangiectasia syndrome (AT)	RCV000519260	Pathogenic	germline	not provided	RCV002221505	Pathogenic	germline	Familial cancer of breast	Pathogenic/Likely_pathogenic
chr11:g.108098354G>A		5.865057	0.70954	0.823	0.94984	0.72334	0.83119	0.57283	0.64413	0.6964	0.38073	0.69319	0.05751	0.74766	0.68373	0.81188	0.96076	0.95156	0.92422	0.65058	0.8433	0.40831	0.69305	0.45472			0.81001	0.71638	0.62547	0.86279	0.76681	0.7674	0.70785	0.47902	0.44364		0.62976	0.77012	0.91255	0.92824	0.92153	18.8413	0.96871			3.97791e-06					8.237e-06					RCV000169261	Pathogenic/Likely pathogenic	germline	Ataxia-telangiectasia syndrome (AT)	RCV000215466	Pathogenic/Likely pathogenic	germline	not provided	RCV000223021	Pathogenic	germline	Hereditary cancer-predisposing syndrome					Pathogenic/Likely_pathogenic
chr11:g.108098357T>G		5.187776	0.47861	0.47165	0.94984	0.57448	0.89531	0.52192	0.57074	0.54094	0.40218	0.60112	0.40538	0.45857	0.31179	0.81188	0.96076	0.95156	0.92422	0.17429	0.8433	0.56376	0.53684	0.59673	0.52726	0.75187	0.38919	0.71638	0.73285	0.86279	0.29436	0.62972	0.56114	0.77913	0.86255	0.67259	0.67705	0.41658	0.72154	0.92824	0.39553	9.7356	0.73735			3.97772e-06				9.415e-06	8.237e-06	RCV001820466	Uncertain significance	germline	not specified																	
chr11:g.108098364_108098365insT																																														3.97779e-06																										
chr11:g.108098392A>G		0.973855	0.32928	0.32011	0.94984	0.20007	0.13142	0.24442	0.34772	0.41204	0.59583	0.36607	0.19332	0.74766	0.7443	0.81188	0.96076	0.95156	0.92422	0.25461	0.30147	0.44069	0.18524	0.25013	0.15268	0.24501	0.2516	0.71638	0.57723	0.42095	0.55071	0.94297	0.86526	0.07471	0.087	0.17941	0.44852	0.17616	0.14694	0.47581	0.42885	10.3101	0.10056			3.97788e-06				9.416e-06	8.237e-06	RCV000688270	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)																	Uncertain_significance
chr11:g.108098394del																																														3.97772e-06				9.416e-06	8.237e-06					RCV000223089	Pathogenic	germline	Hereditary cancer-predisposing syndrome	RCV000481023	Pathogenic	germline	not provided	RCV000628079	Pathogenic	germline	Ataxia-telangiectasia syndrome (AT)					
chr11:g.108098400C>A		1.397372	0.01732	0.19191	0.94984	0.02583	0.15509	0.19558	0.24206	0.31333	0.58613	0.28765	0.10542	0.48965	0.34476	0.81188	0.96076	0.95156	0.92422	0.28377	0.31758	0.29483	0.00518	0.1686	0.15478	0.0159	0.22022	0.71638	0.71098	0.57719	0.39909	0.09497	0.16968	0.02946	0.04355	0.21536	0.09796	0.18567	0.08839	0.11115	0.51343	11.7913	0.15888			2.38682e-05	3.18735e-05									RCV000219832	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV000536856	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)									Uncertain_significance
chr11:g.108098401_108098402del																																														3.97804e-06				9.416e-06	8.237e-06	RCV000820223	Pathogenic	germline	Ataxia-telangiectasia syndrome (AT)																	
chr11:g.108098401A>G	7	1.54491	0.3761	0.3676	0.94984	0.21983	0.29357	0.31447	0.35555	0.39705	0.58613	0.50899	0.44404	0.47345	0.47978	0.81188	0.96076	0.95156	0.92422	0.51273	0.31758	0.38882	0.18691	0.33927	0.25632	0.31408	0.22508	0.71638	0.73285	0.65909	0.53438	0.94297	0.86526	0.33667	0.2628	0.23691	0.54382	0.2102	0.33923	0.42614	0.06545	3.2927	0.29197			3.97782e-06										RCV001181264	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV001278349	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)									Uncertain_significance
chr11:g.108098413C>T	7	5.652054	0.42501	0.5169	0.94984	0.74477	0.94366	0.55747	0.60391	0.6145	0.6061	0.52799	0.29674	0.74766	0.52019	0.81188	0.96076	0.95156	0.92422	0.6477	0.8433	0.67813	0.37239	0.73745	0.46548	0.72352	0.37543	0.71638	0.97212	0.86279	0.58236	0.4025	0.3763	0.63424	0.59428	0.38953	0.84811	0.41286	0.61437	0.6789	0.53129	12.1088	0.57263			3.97798e-06						RCV001959355	Uncertain significance	germline	Ataxia-telangiectasia syndrome (AT)																	
