hgvsg	cadd_consscore	cadd_rawscore	dbnsfp_bayesdel_add_af_rankscore	dbnsfp_bayesdel_no_af_rankscore	dbnsfp_bstatistic_converted_rankscore	dbnsfp_clinpred_rankscore	dbnsfp_dann_rankscore	dbnsfp_deogen2_rankscore	dbnsfp_eigen_raw_coding_rankscore	dbnsfp_eigen_pc_raw_coding_rankscore	dbnsfp_fathmm_converted_rankscore	dbnsfp_fathmm_mkl_coding_rankscore	dbnsfp_fathmm_xf_coding_rankscore	dbnsfp_genocanyon_rankscore	dbnsfp_gerp___rs_rankscore	dbnsfp_gm12878_fitcons_rankscore	dbnsfp_h1_hesc_fitcons_rankscore	dbnsfp_huvec_fitcons_rankscore	dbnsfp_integrated_fitcons_rankscore	dbnsfp_list_s2_rankscore	dbnsfp_lrt_converted_rankscore	dbnsfp_metalr_rankscore	dbnsfp_metarnn_rankscore	dbnsfp_metasvm_rankscore	dbnsfp_mpc_rankscore	dbnsfp_mutationassessor_rankscore	dbnsfp_mutationtaster_converted_rankscore	dbnsfp_phastcons_100way_vertebrate_rankscore	dbnsfp_phastcons_17way_primate_rankscore	dbnsfp_phastcons_30way_mammalian_rankscore	dbnsfp_phylop_100way_vertebrate_rankscore	dbnsfp_phylop_17way_primate_rankscore	dbnsfp_phylop_30way_mammalian_rankscore	dbnsfp_polyphen2_hdiv_rankscore	dbnsfp_polyphen2_hvar_rankscore	dbnsfp_primateai_rankscore	dbnsfp_provean_converted_rankscore	dbnsfp_revel_rankscore	dbnsfp_sift_converted_rankscore	dbnsfp_sift4g_converted_rankscore	dbnsfp_siphy_29way_logodds_rankscore	dbnsfp_siphy_29way_logodds_score	dbnsfp_vest4_rankscore	evs_grantham_score	mutdb_mutpred_score	gnomad_exome_af	gnomad_genome_af	civic_actionscore	civic_clinvar_cnt	exac_nontcga_af	exac_af	clinvar_accession	clinvar_sig	clinvar_origin	clinvar_name	clinvar_accession_0	clinvar_sig_0	clivar_origin_0	clinvar_name_0	clinvar_accession_1	clinvar_sig_1	clivar_origin_1	clinvar_name_1	clinvar_accession_2	clinvar_sig_2	clivar_origin_2	clinvar_name_2	clinvar_accession_3	clinvar_sig_3	clivar_origin_3	clinvar_name_3	dbnsfp_clinvar_sig
chr13:g.32890557_32890558del																																														8.03587e-06				9.415e-06	8.237e-06					RCV000478133	Likely pathogenic	germline	not provided	RCV000687417	Likely pathogenic	germline	Hereditary breast ovarian cancer syndrome	RCV001262537	Likely pathogenic	unknown	Familial cancer of breast	RCV002376877	Likely pathogenic	germline	Hereditary cancer-predisposing syndrome	
chr13:g.32890599T>G		4.760485	0.55696	0.69086	0.32732	0.78687	0.37559		0.67486	0.65636	0.00912	0.48906	0.04588	0.74766	0.73797	0.07192	0.00183	0.06265	0.04791		0.8433	0.05321	0.99656	0.11483			0.81001	0.71638	0.2497	0.37087	0.59199	0.47794	0.64695				0.35399	0.64725	0.91255	0.92824	0.57219	12.8466	0.80375		0.958	7.95729e-06		0.0	51385	9.415e-06	8.237e-06					RCV000044102	Pathogenic	germline	Hereditary breast ovarian cancer syndrome	RCV000113010	Pathogenic	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000131870	Pathogenic	germline	Hereditary cancer-predisposing syndrome	RCV000759594	Pathogenic	germline	not provided	Pathogenic
chr13:g.32890601C>T	7	-0.003729	0.0443	0.14692	0.32732	0.09279	0.13543		0.07115	0.10179	0.01218	0.22965	0.08146	0.74766	0.219	0.08562	0.00183	0.64577	0.06251		0.17942	0.01542	0.27628	0.46246	0.01959		0.21775	0.28541	0.2469	0.26518	0.13791	0.02041	0.08986			0.22275	0.24898	0.10877	0.18061	0.23097	0.09266	4.0485	0.40164			3.97871e-06						RCV003032823	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome																	
chr13:g.32890608G>C		3.477883	0.04589	0.28429	0.32732	0.25966	0.71148		0.52012	0.50203	0.00759	0.34983	0.23713	0.74766	0.34677	0.08562	0.00183	0.64577	0.06251		0.26156	0.01615	0.5152	0.49872	0.19074		0.20103	0.35982	0.43992	0.29358	0.38315	0.50648	0.2632			0.26777	0.27259	0.36365	0.38407	0.23914	0.18342	5.9249	0.55453			2.38684e-05	3.18471e-05			1.883e-05	3.295e-05					RCV000167014	Conflicting interpretations of pathogenicity	germline	Hereditary cancer-predisposing syndrome	RCV000637700	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome	RCV001280619	Uncertain significance	germline	not specified	RCV001356441	Uncertain significance	unknown	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	Uncertain_significance
chr13:g.32890623C>A	7	6.265437	0.18014	0.41705	0.32732	0.63102	0.51834		0.73609	0.73985	0.01072	0.41992	0.37819	0.74766	0.73797	0.08562	0.00183	0.64577	0.06251		0.46274	0.0609	0.58727	0.19173	0.16946		0.37408	0.41325	0.59238	0.49151	0.33098	0.07525	0.178			0.3344	0.41809	0.29403	0.49117	0.7415	0.7972	15.9612	0.45709			7.9557e-06																										
chr13:g.32890627_32890628insT																																															3.1839e-05																									
chr13:g.32890638T>A	7	4.837967	0.43457	0.42697	0.32732	0.48671	0.41531		0.70305	0.70579	0.00825	0.40269	0.35921	0.74766	0.73797	0.08562	0.63188	0.64577	0.1806		0.37095	0.03949	0.75219	0.16148	0.02469		0.32153	0.71638	0.91618	0.86279	0.40591	0.47794	0.59248			0.59485	0.29525	0.35316	0.39097	0.83351	0.57219	12.8466	0.74644			3.97823e-06										RCV001193994	Uncertain significance	germline	not specified	RCV002327460	Uncertain significance	germline	Hereditary cancer-predisposing syndrome	RCV003127678	Uncertain significance	germline	not provided					Uncertain_significance
chr13:g.32890639_32890640insTTA																																														3.97839e-06				9.415e-06	8.237e-06																					
chr13:g.32890653G>T	7	4.327259	0.54967	0.62935	0.32732	0.8191	0.5382		0.80443	0.8081	0.01121	0.51576	0.56128	0.74766	0.73797	0.08562	0.00183	0.64577	0.06251		0.62929	0.06664	0.69565	0.04884	0.02324		0.43951	0.71638	0.678	0.32384	0.66335	0.50648	0.78918			0.56736	0.56787	0.55478	0.91255	0.92824	0.7972	15.9612	0.61256			3.98105e-06						RCV000582172	Uncertain significance	germline	Hereditary cancer-predisposing syndrome																	Uncertain_significance
chr13:g.32890656A>G		-0.460869	0.05991	0.11401	0.32732	0.02455	0.12985		0.08487	0.11418	0.00573	0.06819	0.00948	0.45458	0.16233	0.08562	0.00183	0.64577	0.06251		0.15726	0.00526	0.15253	0.45141	0.01834		0.19072	0.17386	0.65344	0.33446	0.07958	0.84096	0.13315			0.18782	0.11008	0.17295	0.00964	0.01155	0.44786	10.6412	0.48227			3.98099e-06				9.416e-06	8.237e-06					RCV000076950	Uncertain significance	germline	Breast-ovarian cancer, familial, susceptibility to, 2 (BROVCA2)	RCV000574036	Conflicting interpretations of pathogenicity	germline	Hereditary cancer-predisposing syndrome	RCV000690786	Uncertain significance	germline	Hereditary breast ovarian cancer syndrome	RCV000758917	Uncertain significance	germline	not provided	Conflicting_interpretations_of_pathogenicity
